SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3201000001-01,32,1,4,4,5,1,2,3,3,1,1,5,5,5,5,5,1,1,5,5,5,,1,,,1,5,5,5,1,5,1,5,5,5,5,5,5,1,,,5,5
3201000002-01,31,1,8,4,5,1,3,3,3,5,1,1,,1,1,,1,1,1,5,5,,1,,,1,5,1,1,1,5,1,1,,1,5,5,1,5,5,1,5,5
3201000003-01,60,1,9,4,1,,2,4,4,1,1,1,,5,5,1,1,1,1,5,1,5,1,,,1,1,1,5,1,1,1,1,,1,1,1,1,1,,,1,1
3201000004-01,34,1,5,4,5,1,3,3,2,3,1,1,,5,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5
3201000005-01,84,2,41,4,4,5,3,3,2,2,1,5,5,5,5,5,1,1,5,5,1,5,1,,,5,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000006-01,83,2,22,4,4,5,3,5,1,5,1,5,1,5,5,5,1,1,1,5,1,5,1,,,5,5,1,5,5,1,1,5,5,1,5,5,5,5,5,5,5,1
3201000007-01,30,2,1,4,1,,3,3,2,3,1,5,1,1,1,,1,1,5,5,5,,1,,,1,1,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3201000007-02,39,1,1,4,1,,3,2,1,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,1,1,1,5,5,5,8,5,5,5,5,5,5,5
3201000008-01,29,2,10,4,5,5,3,4,4,4,1,1,,1,1,,1,1,1,5,1,1,1,,,1,5,5,5,1,5,1,1,,5,5,5,1,1,,,5,1
3201000009-01,33,2,8,4,5,1,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000011-01,75,2,41,4,4,5,2,5,3,4,1,5,5,1,1,,1,1,1,1,1,1,1,,,1,1,5,1,5,5,1,1,,5,5,5,5,1,,,1,5
3201000012-01,44,2,44,4,1,,2,4,5,2,1,1,,5,5,1,1,1,1,5,1,1,1,,,5,1,1,1,5,1,1,1,,1,5,5,5,5,5,1,1,1
3201000013-01,70,2,50,4,4,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000014-01,33,1,10,4,1,,2,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,5,5,1,5,5,5,5,5,1,5
3201000015-01,40,1,39,4,1,,2,2,1,1,1,5,1,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000017-01,37,1,5,4,1,,3,4,4,4,1,1,,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000020-01,20,2,240,1,5,1,3,4,3,2,1,5,5,1,1,,1,1,1,5,1,1,5,5,5,5,5,5,5,5,1,1,1,,5,5,5,5,5,5,5,5,5
3201000022-01,40,2,33,4,1,,2,4,2,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,1,,1,1,5,5,5,5,5,5,5
3201000023-01,53,2,9,4,4,5,3,5,1,2,1,5,5,1,5,5,1,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000024-01,39,2,10,4,1,,3,4,4,2,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5
3201000024-02,44,1,30,4,1,,1,1,1,3,1,1,,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000027-01,25,1,25,4,5,5,3,2,1,1,1,5,5,1,5,5,5,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5
3201000028-01,49,1,15,4,1,,3,4,1,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000029-01,39,1,11,4,1,,3,2,2,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000030-01,60,1,4,1,3,1,3,3,3,3,1,5,5,5,5,5,5,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
